"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2003","116.53","116.12","116.87","115.71","116.50M","0.35%"
"Aug 29, 2003","116.12","115.09","117.04","114.87","160.61M","0.89%"
"Aug 28, 2003","115.09","116.23","116.69","114.12","135.84M","-0.98%"
"Aug 27, 2003","116.23","117.35","117.35","114.94","147.77M","-0.95%"
"Aug 26, 2003","117.35","117.98","117.98","116.60","132.48M","-0.53%"
"Aug 25, 2003","117.98","120.01","120.74","117.52","200.62M","-1.69%"
"Aug 22, 2003","120.01","118.46","120.20","117.62","228.03M","1.31%"
"Aug 21, 2003","118.46","115.57","118.46","115.19","135.87M","2.50%"
"Aug 20, 2003","115.57","116.89","117.51","115.14","165.86M","-1.13%"
"Aug 19, 2003","116.89","116.61","116.97","114.79","106.07M","0.24%"
"Aug 18, 2003","116.61","118.77","118.93","116.01","117.17M","-1.82%"
"Aug 15, 2003","118.77","117.95","118.77","116.60","107.73M","0.70%"
"Aug 14, 2003","117.95","119.16","119.16","116.70","127.22M","-1.02%"
"Aug 13, 2003","119.16","118.60","120.75","118.59","249.62M","0.47%"
"Aug 12, 2003","118.60","117.62","119.31","117.22","329.20M","0.83%"
"Aug 11, 2003","117.62","115.58","117.65","114.68","144.29M","1.77%"
"Aug 08, 2003","115.58","115.47","115.80","114.49","180.31M","0.10%"
"Aug 07, 2003","115.47","113.11","115.72","113.06","225.29M","2.09%"
"Aug 06, 2003","113.11","115.00","115.84","112.56","269.99M","-1.64%"
"Aug 05, 2003","115.00","111.12","115.16","111.12","389.43M","3.49%"
"Aug 04, 2003","111.12","106.21","111.51","106.21","224.42M","4.62%"
"Aug 01, 2003","106.21","105.72","106.52","105.19","81.63M","0.46%"
"Jul 31, 2003","105.72","104.45","105.72","104.20","73.56M","1.22%"
"Jul 30, 2003","104.45","104.78","105.31","104.04","58.12M","-0.31%"
"Jul 29, 2003","104.78","105.98","105.98","104.18","69.27M","-1.13%"
"Jul 28, 2003","105.98","105.61","106.20","105.13","83.96M","0.35%"
"Jul 25, 2003","105.61","104.75","105.61","104.39","99.89M","0.82%"
"Jul 24, 2003","104.75","104.64","105.56","103.19","111.88M","0.11%"
"Jul 23, 2003","104.64","105.44","105.44","103.59","91.38M","-0.76%"
"Jul 22, 2003","105.44","108.27","108.27","105.08","103.36M","-2.61%"
"Jul 21, 2003","108.27","108.57","109.26","107.56","143.29M","-0.28%"
"Jul 18, 2003","108.57","107.51","108.57","107.24","126.71M","0.99%"
